TERM;POSITION;WORD;TYPE;MODE;URI;CURRENT_TERM;AMBIGUOUS;ANOTHER_MEANING;ANOTHER_MEANING_URI;DESCRIPTION;GAZETTEER;VERIFICATION;GEO
biuar;444;78;PLN;FT;http://sws.geonames.org/3104488;Vivar del Cid;NO; ; ; ;Medieval;NO;0 0
burgos;491;86;APLN;FT;http://sws.geonames.org/3127461/;Burgos;SI; ; ; ;Medieval;NO;42.34997:-3.68221
burgos;640;111;APLN;FT;http://sws.geonames.org/3127461/;Burgos;SI; ; ; ;Medieval;NO;42.34997:-3.68221
burgos;1017;176;APLN;FT;http://sws.geonames.org/3127461/;Burgos;SI; ; ; ;Medieval;NO;42.34997:-3.68221
burgos;2289;415;APLN;FT;http://sws.geonames.org/3127461/;Burgos;SI; ; ; ;Medieval;NO;42.34997:-3.68221
Maria Maria;2319;420;PLN;PPT; ; ;NO; ; ; ; ;SI;''
biuar;444;78;PLN;FT;http://sws.geonames.org/3104488;Vivar del Cid;NO; ; ; ;Medieval;NO;0 0
burgos;491;86;APLN;FT;http://sws.geonames.org/3127461/;Burgos;SI; ; ; ;Medieval;NO;42.34997:-3.68221
burgos;640;111;APLN;FT;http://sws.geonames.org/3127461/;Burgos;SI; ; ; ;Medieval;NO;42.34997:-3.68221
burgos;1017;176;APLN;FT;http://sws.geonames.org/3127461/;Burgos;SI; ; ; ;Medieval;NO;42.34997:-3.68221
burgos;2289;415;APLN;FT;http://sws.geonames.org/3127461/;Burgos;SI; ; ; ;Medieval;NO;42.34997:-3.68221
Maria Maria;2319;420;PLN;PPT; ; ;NO; ; ; ; ;SI;''
